EXIT ZONE,NETWORK,STANDING CHARGE,UNIT RATE,MIN AQ,MAX AQ,CONTRACT LENGTH,EARLIEST START DATE,MAX START DATE
EM3,East Midlands,0,2.511,220001,293071,12,13/03/2018,28/02/2019
EM4,East Midlands,0,2.511,220001,293071,12,13/03/2018,28/02/2019
NE1,North of England,0,2.602,220001,293071,12,13/03/2018,28/02/2019
NE2,North of England,0,2.602,220001,293071,12,13/03/2018,28/02/2019
NE3,North of England,0,2.602,220001,293071,12,13/03/2018,28/02/2019
NO1,North of England,0,2.604,220001,293071,12,13/03/2018,28/02/2019
NO2,North of England,0,2.604,220001,293071,12,13/03/2018,28/02/2019
NT1,London,0,2.635,220001,293071,12,13/03/2018,28/02/2019
NT2,London,0,2.635,220001,293071,12,13/03/2018,28/02/2019
NT3,London,0,2.635,220001,293071,12,13/03/2018,28/02/2019
NW1,North West,0,2.628,220001,293071,12,13/03/2018,28/02/2019
NW2,North West,0,2.628,220001,293071,12,13/03/2018,28/02/2019
SC1,Scotland,0,2.639,220001,293071,12,13/03/2018,28/02/2019
SC2,Scotland,0,2.639,220001,293071,12,13/03/2018,28/02/2019
SC4,Scotland,0,2.639,220001,293071,12,13/03/2018,28/02/2019
SE1,South of England,0,2.612,220001,293071,12,13/03/2018,28/02/2019
SE2,South of England,0,2.612,220001,293071,12,13/03/2018,28/02/2019
SO1,South of England,0,2.638,220001,293071,12,13/03/2018,28/02/2019
SO2,South of England,0,2.638,220001,293071,12,13/03/2018,28/02/2019
SW1,South West,0,2.742,220001,293071,12,13/03/2018,28/02/2019
SW2,South West,0,2.742,220001,293071,12,13/03/2018,28/02/2019
SW3,South West,0,2.742,220001,293071,12,13/03/2018,28/02/2019
WM1,West Midlands,0,2.641,220001,293071,12,13/03/2018,28/02/2019
WM2,West Midlands,0,2.641,220001,293071,12,13/03/2018,28/02/2019
WM3,West Midlands,0,2.641,220001,293071,12,13/03/2018,28/02/2019
WA1,Wales North,0,2.679,220001,293071,12,13/03/2018,28/02/2019
WA2,Wales South,0,2.599,220001,293071,12,13/03/2018,28/02/2019
EA1,East of England,0,2.496,293072,350000,12,13/03/2018,28/02/2019
EA2,East of England,0,2.496,293072,350000,12,13/03/2018,28/02/2019
EA3,East of England,0,2.496,293072,350000,12,13/03/2018,28/02/2019
EA4,East of England,0,2.496,293072,350000,12,13/03/2018,28/02/2019
EM1,East Midlands,0,2.506,293072,350000,12,13/03/2018,28/02/2019
EM2,East Midlands,0,2.506,293072,350000,12,13/03/2018,28/02/2019
EM3,East Midlands,0,2.506,293072,350000,12,13/03/2018,28/02/2019
EM4,East Midlands,0,2.506,293072,350000,12,13/03/2018,28/02/2019
NE1,North of England,0,2.595,293072,350000,12,13/03/2018,28/02/2019
NE2,North of England,0,2.595,293072,350000,12,13/03/2018,28/02/2019
NE3,North of England,0,2.595,293072,350000,12,13/03/2018,28/02/2019
NO1,North of England,0,2.597,293072,350000,12,13/03/2018,28/02/2019
NO2,North of England,0,2.597,293072,350000,12,13/03/2018,28/02/2019
NT1,London,0,2.627,293072,350000,12,13/03/2018,28/02/2019
NT2,London,0,2.627,293072,350000,12,13/03/2018,28/02/2019
NT3,London,0,2.627,293072,350000,12,13/03/2018,28/02/2019
NW1,North West,0,2.624,293072,350000,12,13/03/2018,28/02/2019
NW2,North West,0,2.624,293072,350000,12,13/03/2018,28/02/2019
SC1,Scotland,0,2.632,293072,350000,12,13/03/2018,28/02/2019
SC2,Scotland,0,2.632,293072,350000,12,13/03/2018,28/02/2019
SC4,Scotland,0,2.632,293072,350000,12,13/03/2018,28/02/2019
SE1,South of England,0,2.604,293072,350000,12,13/03/2018,28/02/2019
SE2,South of England,0,2.604,293072,350000,12,13/03/2018,28/02/2019
SO1,South of England,0,2.632,293072,350000,12,13/03/2018,28/02/2019
SO2,South of England,0,2.632,293072,350000,12,13/03/2018,28/02/2019
SW1,South West,0,2.736,293072,350000,12,13/03/2018,28/02/2019
SW2,South West,0,2.736,293072,350000,12,13/03/2018,28/02/2019
SW3,South West,0,2.736,293072,350000,12,13/03/2018,28/02/2019
WM1,West Midlands,0,2.634,293072,350000,12,13/03/2018,28/02/2019
WM2,West Midlands,0,2.634,293072,350000,12,13/03/2018,28/02/2019
WM3,West Midlands,0,2.634,293072,350000,12,13/03/2018,28/02/2019
WA1,Wales North,0,2.673,293072,350000,12,13/03/2018,28/02/2019
WA2,Wales South,0,2.592,293072,350000,12,13/03/2018,28/02/2019
EA1,East of England,0,2.49,350001,400000,12,13/03/2018,28/02/2019
EA2,East of England,0,2.49,350001,400000,12,13/03/2018,28/02/2019
EA3,East of England,0,2.49,350001,400000,12,13/03/2018,28/02/2019
